"Company Name","Parent / Owner","Latest Reported Year","Latest S1 (tCO2e)","Latest S2 (tCO2e)","Base Year","Parent Target","Target Year","Net-Zero Year","Australian Subsidiary Note","Scope 3 Status","Recent Update","BD Signals","Source URL","Confidence"
"BM Alliance Coal Operations Pty Limited","50% BHP + 50% Mitsubishi Development","2023-24","3084445","821714","FY20 (BHP)","BHP: 30% S1+S2 by 2030 from FY20; net zero operational S1+S2 by 2050. Mitsubishi Corp: 50% S1+S2 by 2030 from 2019; net zero S1+S2 by 2050","2030","2050","BHP-Mitsubishi Alliance - Queensland Bowen Basin metallurgical coal mines (Goonyella Riverside, Peak Downs, Saraji, Caval Ridge, Broadmeadow post-Blackwater/Daunia divestment April 2024)","","April 2024 BHP sold Blackwater + Daunia mines to Whitehaven Coal for US$3.2bn; BMA simplified to remaining 5 mines; BHP attempted to sell remaining BMA stake mid-2024 but withdrew","Coking coal portfolio rationalisation ongoing; ASRS Group 1; Safeguard compliance under reformed mechanism; methane reduction technology investment","https://www.bhp.com/sustainability/climate-and-energy","High"
"QGC Upstream Investments Pty Ltd","Shell plc (LSE:SHEL)","2023-24","929217","2322456","2016","Shell: 50% S1+S2 absolute by 2030 from 2016; net zero by 2050; Net Carbon Intensity 15-20% by 2030 (revised DOWN from 20% in March 2024)","2030","2050","Shell QGC Coal Seam Gas upstream operations Queensland Surat Basin; supplies QGC LNG midstream + domestic gas; very high S2 (2.3Mt) reflects electricity-intensive gas processing","","March 2024 Shell weakened NCI intensity targets (from 20% to 15-20%); Shell Powering Progress strategy revised","ASRS Group 1; Safeguard compliance; ACCU strategy; weakened Shell targets attracting investor pressure; AASB S2 transition plan disclosure","https://www.shell.com/sustainability/transparency-and-sustainability-reporting/sustainability-reports.html","High"
"Golden M NSW Pty Ltd","70% GEAR (Sinar Mas) + 30% M Resources / JSW Steel 66.67% interest","","","","","JSW Steel: net zero by 2050; 42% intensity by 2030 from 2005; GEAR: no disclosed group SBTi","","","HoldCo of Illawarra Coal Holdings - owns Appin + Dendrobium NSW underground hard coking coal mines (~6.5Mtpa); acquired from South32 for US$1.65bn; completed Q1 FY25","","Acquisition completed FY25 H1; first NGER reporting under new ownership for FY24-25; $850m equivalent acquisition facilities","New ownership structure (FY25 first reporting cycle); private credit covenant exposure; ASRS Group 1 likely via JSW Steel listed parent; Safeguard compliance for Appin (gas drainage emissions)","https://www.south32.net/news-media/latest-news/completion-of-illawarra-metallurgical-coal-sale","Medium"
"Shell Energy Holdings Australia Limited","Shell plc (LSE:SHEL)","2023-24","2030133","6280","2016","Shell: 50% S1+S2 absolute by 2030 from 2016; net zero by 2050; NCI 15-20% by 2030 (revised down March 2024)","2030","2050","Includes former ERM Power business (acquired 2019) - gas peakers (Mortlake, Oakey, Gladstone, Wallumbilla) + commercial & industrial retail","","Sale of Shell Energy Retail commercial & industrial business to ESB Group Ireland for US$540m completed April 2025; March 2024 Shell weakened intensity targets","Recent retail divestment changes entity scope; ASRS Group 1; gas generation transition planning; AASB S2 disclosure obligations; weakened parent targets investor concern","https://www.shell.com/sustainability/transparency-and-sustainability-reporting/sustainability-reports.html","High"
"Peabody Australia Holdco Pty Ltd","Peabody Energy Corporation (NYSE:BTU)","2023-24","1735165","165265","2018","Peabody Energy: net zero S1+S2 ambition by 2050; no SBTi; 18-25% S1+S2 reduction by 2030; methane reduction targets","2030","2050","Wambo + North Goonyella + Helensburgh (NSW) + Wilpinjong; FY25 INCORPORATES Anglo American steelmaking coal acquisition - major footprint expansion","","2024-25 - Peabody completed US$3.78bn acquisition of Anglo American steelmaking coal assets; FY25 NGER will reflect substantially expanded Australian footprint","Major acquisition reshapes Australian portfolio - FY25 reporting transformation; ASRS Group 1; Safeguard compliance complexity post-Anglo acquisition; ACCU procurement at scale needed","https://www.peabodyenergy.com/Sustainability/ESG-Performance-and-Reporting","High"
"Coronado Australia Holdings Pty Ltd","Coronado Global Resources Inc (ASX:CRN)","2023-24","909444","169352","2021","Coronado: 30% S1+S2 reduction by 2030 from 2021; net zero S1+S2 by 2050; SBTi committed (not yet validated)","2030","2050","Curragh Mine QLD (Bowen Basin metallurgical coal); also US Buchanan + Logan mines; ASX-listed (CRN); SBTi commitment 2022, validation pending","","Sev.En GI bidding for 51% stake (announced 2023, ongoing); FY24 production constraints; methane abatement technology trials","ASX Group 1 - direct ASRS exposure as standalone listed entity; Sev.En takeover bid creates strategic uncertainty; SBTi validation pending = ambition gap BD opportunity","https://coronadoglobal.com/sustainability/sustainability-reporting/","High"
"QGC Midstream Investments Pty Ltd","Shell plc (LSE:SHEL)","2023-24","1936241","0","2016","Shell: same as Upstream entity - 50% S1+S2 by 2030 from 2016; net zero by 2050; NCI 15-20% by 2030","2030","2050","QGC Midstream = Curtis Island LNG export facility + gas processing infrastructure; downstream of QGC Upstream CSG operations","","Same as Shell parent; Curtis Island LNG operations carbon intensity focus","Same as QGC Upstream + LNG-specific Safeguard compliance for Curtis Island; Curtis Island net zero LNG pathway opportunities","https://www.shell.com/sustainability/transparency-and-sustainability-reporting/sustainability-reports.html","High"
"Bluewaters Power 1 Pty Ltd","50% Sumitomo + 50% Kansai Electric","2023-24","1352311","900","2019 (Sumitomo) / 2013 (Kansai)","Sumitomo: net zero by 2050; 50% S1+S2 by 2030 from 2019; SBTi committed. Kansai Electric: net zero by 2050; excluded by Storebrand for coal slowness","2030","2050","50% of Bluewaters Power Station Unit 1 (Collie WA, only privately-owned coal in WA, 434MW); sole coal supplier Griffin Coal (in administration); AEMO 2030/2025 closure scenarios","","Continued financial distress; Sumitomo $326m impairment FY20; Kansai impairment; Griffin Coal supply uncertainty; no committed phase-out date as of 2024","Stranded asset risk; ASRS Group 1 via Sumitomo/Kansai listed parents; Safeguard compliance Tier 2; Climateworks identified Bluewaters as having NO disclosed emissions reduction activities","https://www.gem.wiki/Bluewaters_power_station","High"
"Bluewaters Power 2 Pty Ltd","50% Sumitomo + 50% Kansai Electric","2023-24","1238252","1835","2019 (Sumitomo) / 2013 (Kansai)","Sumitomo: net zero by 2050; 50% S1+S2 by 2030 from 2019; SBTi committed. Kansai Electric: net zero by 2050; no SBTi","2030","2050","50% of Bluewaters Power Station Unit 2 (Collie WA, 217MW unit); same JV structure as Unit 1","","Same as Bluewaters Power 1 - continued financial distress; Griffin Coal supply uncertainty","Same as Bluewaters Power 1 - stranded asset risk; ASRS Group 1; Safeguard compliance; Climateworks no disclosed targets","https://www.gem.wiki/Bluewaters_power_station","High"
"GLNG Operations Pty Ltd","30% Santos + 27.5% Petronas + 27.5% TotalEnergies + 15% Kogas","2023-24","1645894","340","2019/2020 (Santos)","Santos: net zero S1+S2 by 2040 (operations); 26-30% S1+S2 by 2030 from 2019/2020; methane intensity <0.2% by 2025; carbon offsets via Moomba CCS","2030","2040","Gladstone LNG (GLNG) - Curtis Island LNG; Santos-operated CSG-to-LNG; Roma + Fairview CSG; major Safeguard facility","","Aug 2025 Woodside-Santos merger of equals announced; Moomba CCS Phase 1 operational since 2024 (1.7Mtpa capacity)","Woodside-Santos merger transition planning complexity; ASRS Group 1; Moomba CCS scale-up; Methane Alliance commitments","https://www.santos.com/sustainability/climate-and-energy","High"
"Ampol Energy Australia Pty Ltd","Ampol Limited (ASX:ALD)","2023-24","","","2019","Ampol: net zero S1+S2 operations by 2040; 30% S1+S2 by 2030 from 2019; net zero S3 by 2050","2030","2040","Ampol Energy is the gas-fired generation + EV charging arm; separate from Lytton refinery (FY24 parent S1=725761 S2=215043)","","Lytton refinery $200m+ low-sulphur fuel upgrade FY24; AmpCharge EV network expansion to 500+ sites","ASRS Group 1; refinery transition planning; ACCU procurement; Safeguard compliance for Lytton; EV charging investment strategy","https://www.ampol.com.au/about-ampol/sustainability","Medium"
"Newgen Kwinana Holdings Pty Ltd","Shell plc (via Shell Energy Operations)","2023-24","755148","650","","Shell parent: 50% S1+S2 by 2030 from 2016; net zero by 2050; NCI 15-20% by 2030. Entity-specific target: none disclosed","2030","2050","320MW gas-fired CCGT/Cogen Kwinana WA; commercial operation Oct 2008; Dampier-Bunbury gas supply; operator Shell Energy Operations","","Climateworks Net Zero Momentum Tracker explicitly flagged NewGen Kwinana among 5 companies with NO disclosed emissions reduction targets or activities","No disclosed entity climate target (Climateworks); Shell parent target frameworks may apply; ASRS Group 1 via Shell; gas-to-flexibility transition planning","https://www.climateworkscentre.org/resource/net-zero-momentum-tracker-energy-sector/","Medium"
"Banpu Australia Co. Pty Ltd","Banpu Public Company Limited (SET:BANPU Thailand)","2023-24","998465","206034","2020","Banpu Public: 27% S1+S2 by 2030 from 2020; net zero by 2050 (corporate); SBTi committed; Greener & Smarter strategy","2030","2050","Centennial Coal Australian subsidiary - operates Mandalong, Myuna, Springvale, Newstan, Charbon, Angus Place mines NSW","","Centennial Coal expansion approvals at Springvale + Mandalong; Newstan rehabilitation; FY25 production guidance; methane fugitive emissions disclosure under Safeguard reform","Thai-domiciled parent SBTi; ASRS exposure via Banpu SET listing; Safeguard compliance for NSW thermal coal mines; ACCU strategy","https://www.banpu.com/sustainability/sustainability-reports/","High"
"Dyno Nobel Limited","Incitec Pivot Limited (ASX:IPL) - Dyno Nobel demerger Nov 2024","2023-24","","","2020","Incitec Pivot: 42% S1+S2 absolute reduction by 2030 from 2020 (SBTi 1.5C validated); net zero by 2050. Post-demerger Dyno Nobel standalone targets TBC","2030","2050","Pre-demerger: data consolidated under Incitec Pivot (FY24 S1=900402 S2=50998); Phosphate Hill ammonium nitrate operations QLD; Moranbah ammonia/explosives plant; major Safeguard exposure","","Nov 2024 demerger approved by shareholders; FY25 Dyno Nobel demerger preparation; no disclosed ACCU procurement strategy","Identified as strong BD target - documented compliance gap, NO disclosed ACCU procurement strategy; Phosphate Hill one of Australia's most Safeguard-exposed facilities","https://www.incitecpivot.com.au/sustainability/sustainability-disclosures","High"
"QCoal Pty Ltd","Chris Wallin family office (private)","2023-24","914814","82226","","No public climate target; no SBTi; no Sustainability Report published","","","Sonoma, Drake, Byerwen (50/50 JV with JFE Steel Japan), Cows Creek metallurgical coal mines QLD; Wallin family-owned private","","Byerwen production ramp-up; FY24 Modern Slavery Statement only public disclosure; no Sustainability Report","Private (likely below ASRS Group 1 - may be Group 2 in 2027-28); no public climate disclosure; Safeguard compliance for Byerwen + Sonoma; major BD target for first-time climate disclosure / AASB S2 readiness","https://www.qcoal.com.au/","Medium"
